GameID,Genre
Time Commando | SAT,Action
Time Gal & Ninja Hayate | SAT,Action
Tomb Raider | SAT,Action
Touryuu Densetsu: Elan Doreé | SAT,Action
Trash It | SAT,Action
Triad Stone | SAT,Action
Tryrush Deppy | SAT,Action
Tunnel B1 | SAT,Action
Twin Cobra II | SAT,Action
Twinkle Star Sprites | SAT,Action
Ultimate Mortal Kombat 3 | SAT,Action
Valora Valley Golf | SAT,Action
Virtua Cop | SAT,Action
Virtua Cop 2 | SAT,Action
Virtua Fighter | SAT,Action
Virtua Fighter 2 | SAT,Action
Virtua Fighter: Kids | SAT,Action
Virtua Fighter Remix | SAT,Action
Virtual Hydlide | SAT,Action
Virus | SAT,Action
Waku Waku 7 | SAT,Action
Warriors of Fate | SAT,Action
Whizz | SAT,Action
Williams Arcade Classics | SAT,Action
Wing Arms | SAT,Action
WipEout | SAT,Action
WipEout XL | SAT,Action
World Heroes Perfect | SAT,Action
WWF WrestleMania | SAT,Action
X-Men: Children of the Atom | SAT,Action
X-Men vs. Street Fighter | SAT,Action
Y?ky? Gens?kyoku (Genteiban!!) | SAT,Action
Zen-Nihon Pro Wrestling Featuring Virtua | SAT,Action
Zoop | SAT,Action
Abu Simbel Profanation Deluxe | DC,Action
AirForce Delta | DC,Action
Alice's Mom's Rescue | DC,Action
Alien Front Online | DC,Action
Alone in the Dark: The New Nightmare | DC,Action
Angel Present | DC,Action
Aqua GT | DC,Action
Armada | DC,Action
Army Men: Sarge's Heroes | DC,Action
Baldr Force EXE | DC,Action
Ball Breakers | DC,Action
Bangai-O | DC,Action
Bang! Gunship Elite | DC,Action
Beats of Rage | DC,Action
Blue Stinger | DC,Action
Bomberman Online | DC,Action
Border Down | DC,Action
Cannon Spike | DC,Action
Capcom vs. SNK | DC,Action
Capcom vs. SNK 2: Mark of the Millennium | DC,Action
Capcom vs. SNK Pro | DC,Action
Carrier | DC,Action
Castle Shikigami 2 | DC,Action
Castle Shikigami 2 (Deluxe Edition) | DC,Action
Cave Story | DC,Action
Centipede | DC,Action
Chaos Field | DC,Action
Charge 'n Blast | DC,Action
Chicken Run | DC,Action
ChuChu Rocket! | DC,Action
Confidential Mission | DC,Action
Cool Herders | DC,Action
Cyber Troopers Virtual On: Oratorio Tangram | DC,Action
D-2 | DC,Action
Dance Dance Revolution: Club Version - Dreamcast Edition | DC,Action
